no_factura,Nombre del cliente,Dirección,Total con iva,Tienda,Fecha
A17913,Amanda Thompson,247 Walnut Street,1408,Tienda A,30/6/2020
A17914,Steven Anderson,655 Birch Lane,975,Tienda B,31/7/2020
A17915,Liam Davis,322 Pine Road,1143,Tienda C,19/3/2020
A17916,Olivia Johnson,248 Walnut Street,425,Tienda B,26/1/2020
A17917,Noah Smith,656 Birch Lane,509,Tienda C,30/10/2020
A17918,Emma Davis,323 Pine Road,591,Tienda A,7/4/2020
A17919,Ava Wilson,249 Walnut Street,146,Tienda B,30/2/2020
A17920,William Thompson,657 Birch Lane,570,Tienda C,22/8/2020
A17921,Sophia Anderson,324 Pine Road,521,Tienda B,8/1/2020
A17922,James Brown,250 Walnut Street,1221,Tienda C,1/10/2020
A17923,Isabella Miller,658 Birch Lane,755,Tienda A,12/1/2020
A17924,Benjamin Taylor,325 Pine Road,1303,Tienda B,28/8/2020
A17925,Sofia Lee,251 Walnut Street,1987,Tienda C,24/8/2020
A17926,Ethan Johnson,659 Birch Lane,1986,Tienda B,11/2/2020
A17927,Olivia Davis,326 Pine Road,1926,Tienda C,30/6/2020
A17928,Liam Thompson,252 Walnut Street,625,Tienda A,16/5/2020
A17929,Ava Anderson,660 Birch Lane,1659,Tienda B,11/2/2020
A17930,Noah Wilson,327 Pine Road,851,Tienda C,30/7/2020
A17931,Isabella Smith,253 Walnut Street,1220,Tienda B,5/1/2020
A17932,Jackson Brown,661 Birch Lane,222,Tienda C,18/2/2020
A17933,Mia Miller,328 Pine Road,686,Tienda A,29/1/2020
A17934,Aiden Davis,254 Walnut Street,1918,Tienda B,7/9/2020
A17935,John Johnson,662 Birch Lane,6,Tienda C,8/5/2020
A17936,John Doe,123 Main Street,1800,Tienda A,16/5/2020
A17937,Jane Smith,456 Elm Avenue,1383,Tienda B,9/3/2020
A17938,David Johnson,789 Oak Lane,129,Tienda C,16/8/2020
A17939,Sarah Brown,321 Pine Road,42,Tienda B,19/7/2020
A17940,Michael Wilson,555 Maple Drive,1249,Tienda C,2/9/2020
A17941,Emily Davis,987 Cedar Court,516,Tienda A,20/11/2020
A17942,Mark Thompson,246 Walnut Street,1503,Tienda B,23/6/2020
A17943,Michelle Anderson,654 Birch Lane,172,Tienda C,13/10/2020
A17944,Andrew Davis,321 Pine Road,1442,Tienda A,21/10/2020
A17945,Jennifer Lee,789 Oak Lane,34,Tienda B,31/11/2020
A17946,Brian Wilson,555 Maple Drive,1815,Tienda C,28/2/2020
A17947,Laura Miller,987 Cedar Court,1221,Tienda B,28/11/2020
A17948,Robert Johnson,123 Main Street,209,Tienda C,3/9/2020
A17949,Mary Davis,456 Elm Avenue,923,Tienda A,18/1/2020
A17950,Christopher Brown,789 Oak Lane,1672,Tienda B,26/8/2020
A17951,Elizabeth Smith,321 Pine Road,693,Tienda C,13/7/2020
A17952,Daniel Wilson,555 Maple Drive,1152,Tienda A,8/9/2020
A17953,Jessica Davis,987 Cedar Court,1680,Tienda B,21/8/2020
A17954,Matthew Thompson,246 Walnut Street,359,Tienda C,15/1/2020
A17955,Amanda Anderson,654 Birch Lane,57,Tienda B,9/11/2020
A17956,Steven Davis,321 Pine Road,54,Tienda C,22/10/2020
A17957,Liam Johnson,247 Walnut Street,1125,Tienda A,2/9/2020
A17958,Olivia Smith,655 Birch Lane,1728,Tienda B,8/10/2020
A17959,Noah Davis,322 Pine Road,709,Tienda C,28/10/2020
A17960,Emma Wilson,248 Walnut Street,1092,Tienda A,15/10/2020
A17961,Ava Thompson,656 Birch Lane,907,Tienda B,22/7/2020
A17962,William Anderson,323 Pine Road,903,Tienda C,26/10/2020
A17963,Sophia Brown,249 Walnut Street,1381,Tienda B,6/6/2020
A17964,James Miller,657 Birch Lane,979,Tienda C,29/11/2020
A17965,Isabella Taylor,324 Pine Road,1957,Tienda A,24/1/2020
A17966,Benjamin Lee,250 Walnut Street,1596,Tienda B,4/6/2020
A17967,Sofia Johnson,658 Birch Lane,1103,Tienda C,12/4/2020
A17968,Ethan Davis,325 Pine Road,1809,Tienda A,5/11/2020
A17969,Olivia Thompson,251 Walnut Street,1280,Tienda B,26/7/2020
A17970,Liam Anderson,659 Birch Lane,10000,Tienda C,29/4/2020
A17971,Ava Wilson,326 Pine Road,529,Tienda B,28/4/2020
A17972,Noah Smith,252 Walnut Street,1961,Tienda C,20/9/2020
A17973,Isabella Brown,660 Birch Lane,1751,Tienda A,12/2/2020
A17974,Jackson Miller,327 Pine Road,524,Tienda B,13/4/2020
A17975,Mia Davis,253 Walnut Street,1629,Tienda C,2/5/2020
A17976,Aiden Johnson,661 Birch Lane,1058,Tienda A,18/4/2020
A17977,Jane Doe,124 Main Street,343,Tienda B,22/4/2020
A17978,David Smith,457 Elm Avenue,8000,Tienda C,26/10/2020
A17979,Sarah Johnson,790 Oak Lane,584,Tienda B,9/1/2020
A17980,Michael Brown,322 Pine Road,1399,Tienda C,19/7/2020
A17981,Emily Wilson,556 Maple Drive,1221,Tienda A,30/7/2020
A17982,Mark Davis,988 Cedar Court,474,Tienda B,15/4/2020
A17983,Michelle Thompson,247 Walnut Street,957,Tienda C,3/5/2020
A17984,Andrew Anderson,655 Birch Lane,1841,Tienda A,6/6/2020
A17985,Jennifer Davis,322 Pine Road,200,Tienda B,11/8/2020
A17986,Brian Lee,790 Oak Lane,1949,Tienda C,28/3/2020
A17987,Laura Wilson,556 Maple Drive,201,Tienda B,1/7/2020
A17988,Robert Miller,988 Cedar Court,524,Tienda C,19/2/2020
A17989,Mary Johnson,124 Main Street,591,Tienda A,20/2/2020
A17990,Christopher Davis,457 Elm Avenue,876,Tienda B,11/11/2020
A17991,Elizabeth Brown,790 Oak Lane,1844,Tienda C,26/2/2020
A17992,Daniel Smith,322 Pine Road,290,Tienda A,21/9/2020
A17993,Jessica Wilson,556 Maple Drive,1622,Tienda B,12/10/2020
A17994,Matthew Davis,988 Cedar Court,1896,Tienda C,5/3/2020
A17995,Amanda Thompson,247 Walnut Street,261,Tienda B,1/3/2020
A17996,Steven Anderson,655 Birch Lane,936,Tienda C,26/10/2020
A17997,Liam Davis,322 Pine Road,247,Tienda A,3/3/2020
A17998,Olivia Johnson,248 Walnut Street,627,Tienda B,5/6/2020
A17999,Noah Smith,656 Birch Lane,1029,Tienda C,4/6/2020
A18000,Emma Davis,323 Pine Road,552,Tienda A,12/1/2020
A18001,Ava Wilson,249 Walnut Street,767,Tienda B,7/9/2020
A18002,William Thompson,657 Birch Lane,496,Tienda C,11/6/2020
A18003,Sophia Anderson,324 Pine Road,228,Tienda B,16/10/2020
A18004,James Brown,250 Walnut Street,1089,Tienda C,2/9/2020
A18005,Isabella Miller,658 Birch Lane,1258,Tienda A,24/4/2020
A18006,Benjamin Taylor,325 Pine Road,1768,Tienda B,11/1/2020
A18007,Sofia Lee,251 Walnut Street,1334,Tienda C,24/6/2020
A18008,Ethan Johnson,659 Birch Lane,869,Tienda A,7/7/2020
A18009,Olivia Davis,326 Pine Road,44,Tienda B,26/2/2020
A18010,Liam Thompson,252 Walnut Street,1813,Tienda C,17/8/2020
A18011,Ava Anderson,660 Birch Lane,1053,Tienda B,19/2/2020
A18012,Noah Wilson,327 Pine Road,500,Tienda C,13/6/2020
A18013,Isabella Smith,253 Walnut Street,1282,Tienda A,2/10/2020
A18014,Jackson Brown,661 Birch Lane,438,Tienda B,8/7/2020
A18015,Mia Miller,328 Pine Road,1051,Tienda C,16/9/2020
A18016,Aiden Davis,254 Walnut Street,1791,Tienda A,8/11/2020
A18017,John Johnson,662 Birch Lane,1209,Tienda B,2/7/2020
A18018,John Doe,123 Main Street,1576,Tienda C,3/9/2020
A18019,Jane Smith,456 Elm Avenue,428,Tienda A,27/10/2020
A18020,David Johnson,789 Oak Lane,1506,Tienda B,27/11/2020
A18021,Sarah Brown,321 Pine Road,1470,Tienda C,17/10/2020
A18022,Michael Wilson,555 Maple Drive,582,Tienda A,2/11/2020
A18023,Emily Davis,987 Cedar Court,1889,Tienda B,15/5/2020
A18024,Mark Thompson,246 Walnut Street,824,Tienda C,13/1/2020
A18025,Michelle Anderson,654 Birch Lane,1922,Tienda A,25/10/2020
A18026,Andrew Davis,321 Pine Road,1617,Tienda B,10/3/2020
A18027,Jennifer Lee,789 Oak Lane,1434,Tienda C,29/1/2020
A18028,Brian Wilson,555 Maple Drive,1578,Tienda A,26/7/2020
A18029,Laura Miller,987 Cedar Court,1974,Tienda B,14/5/2020
A18030,Robert Johnson,123 Main Street,119,Tienda C,14/2/2020
A18031,Mary Davis,456 Elm Avenue,1216,Tienda A,14/3/2020
A18032,Christopher Brown,789 Oak Lane,893,Tienda B,23/9/2020
A18033,Elizabeth Smith,321 Pine Road,1920,Tienda C,8/5/2020
A18034,Daniel Wilson,555 Maple Drive,1004,Tienda A,30/1/2020
A18035,Jessica Davis,987 Cedar Court,1796,Tienda B,18/8/2020
A18036,Matthew Thompson,246 Walnut Street,40,Tienda C,18/4/2020
A18037,Amanda Anderson,654 Birch Lane,1908,Tienda A,23/4/2020
A18038,Steven Davis,321 Pine Road,1345,Tienda B,17/7/2020
A18039,Liam Johnson,247 Walnut Street,493,Tienda C,13/5/2020
A18040,Olivia Smith,655 Birch Lane,735,Tienda A,4/5/2020
A18041,Noah Davis,322 Pine Road,1002,Tienda B,2/11/2020
A18042,Emma Wilson,248 Walnut Street,833,Tienda C,29/2/2020
A18043,Ava Thompson,656 Birch Lane,1528,Tienda A,2/7/2020
A18044,William Anderson,323 Pine Road,1245,Tienda B,18/5/2020
A18045,Sophia Brown,249 Walnut Street,1238,Tienda C,6/11/2020
A18046,James Miller,657 Birch Lane,1138,Tienda A,5/2/2020
A18047,Isabella Taylor,324 Pine Road,1534,Tienda B,4/8/2020
A18048,Benjamin Lee,250 Walnut Street,1832,Tienda C,16/7/2020
A18049,Sofia Johnson,658 Birch Lane,1456,Tienda A,26/7/2020
A18050,Ethan Davis,325 Pine Road,1526,Tienda B,8/9/2020
A18051,Olivia Thompson,251 Walnut Street,445,Tienda C,6/5/2020
A18052,Liam Anderson,659 Birch Lane,490,Tienda A,27/4/2020
A18053,Ava Wilson,326 Pine Road,1319,Tienda B,7/9/2020
A18054,Noah Smith,252 Walnut Street,306,Tienda C,23/1/2020
A18055,Isabella Brown,660 Birch Lane,1064,Tienda A,9/7/2020
A18056,Jackson Miller,327 Pine Road,316,Tienda B,9/4/2020
A18057,Mia Davis,253 Walnut Street,117,Tienda C,31/1/2020
A18058,Aiden Johnson,661 Birch Lane,577,Tienda A,23/11/2020
A18059,Jane Doe,124 Main Street,219,Tienda B,10/6/2020
A18060,David Smith,457 Elm Avenue,711,Tienda C,20/3/2020
A18061,Sarah Johnson,790 Oak Lane,1879,Tienda A,24/3/2020
A18062,Michael Brown,322 Pine Road,468,Tienda B,1/11/2020
A18063,Emily Wilson,556 Maple Drive,1706,Tienda C,24/7/2020
A18064,Mark Davis,988 Cedar Court,1026,Tienda A,14/7/2020
A18065,Michelle Thompson,247 Walnut Street,755,Tienda B,26/9/2020
A18066,Andrew Anderson,655 Birch Lane,789,Tienda C,27/1/2020
A18067,Jennifer Davis,322 Pine Road,1767,Tienda A,15/5/2020
A18068,Brian Lee,790 Oak Lane,392,Tienda B,15/9/2020
A18069,Laura Wilson,556 Maple Drive,242,Tienda C,20/4/2020
A18070,Robert Miller,988 Cedar Court,260,Tienda A,1/7/2020
A18071,Mary Johnson,124 Main Street,287,Tienda B,20/4/2020
A18072,Christopher Davis,457 Elm Avenue,697,Tienda C,11/8/2020
A18073,Elizabeth Brown,790 Oak Lane,168,Tienda A,17/1/2020
A18074,Daniel Smith,322 Pine Road,901,Tienda B,25/9/2020
A18075,Jessica Wilson,556 Maple Drive,313,Tienda C,23/9/2020
A18076,Matthew Davis,988 Cedar Court,1609,Tienda A,2/3/2020
A18077,Amanda Thompson,247 Walnut Street,273,Tienda B,17/8/2020
A18078,Steven Anderson,655 Birch Lane,596,Tienda C,17/7/2020
A18079,Liam Davis,322 Pine Road,1544,Tienda A,12/3/2020
A18080,Olivia Johnson,248 Walnut Street,1813,Tienda B,12/3/2020
A18081,Noah Smith,656 Birch Lane,385,Tienda C,8/3/2020
A18082,Emma Davis,323 Pine Road,1221,Tienda A,20/2/2020
A18083,Ava Wilson,249 Walnut Street,426,Tienda B,31/4/2020
A18084,William Thompson,657 Birch Lane,1296,Tienda C,9/9/2020
A18085,Sophia Anderson,324 Pine Road,1223,Tienda A,5/1/2020
A18086,James Brown,250 Walnut Street,1961,Tienda B,29/2/2020
A18087,Isabella Miller,658 Birch Lane,1966,Tienda C,23/6/2020
A18088,Benjamin Taylor,325 Pine Road,69,Tienda A,26/4/2020
A18089,Sofia Lee,251 Walnut Street,208,Tienda B,9/2/2020
A18090,Ethan Johnson,659 Birch Lane,766,Tienda C,26/6/2020
A18091,Olivia Davis,326 Pine Road,1416,Tienda A,5/7/2020
A18092,Liam Thompson,252 Walnut Street,884,Tienda B,29/4/2020
A18093,Ava Anderson,660 Birch Lane,420,Tienda C,20/3/2020
A18094,Noah Wilson,327 Pine Road,1745,Tienda A,22/8/2020
A18095,Isabella Smith,253 Walnut Street,1696,Tienda B,2/11/2020
A18096,Jackson Brown,661 Birch Lane,1378,Tienda C,12/1/2020
A18097,Mia Miller,328 Pine Road,162,Tienda A,17/1/2020
A18098,Aiden Davis,254 Walnut Street,127,Tienda B,22/7/2020
A18099,John Johnson,662 Birch Lane,1886,Tienda C,1/3/2020
A18100,John Doe,123 Main Street,557,Tienda A,15/5/2020
A18101,Jane Smith,456 Elm Avenue,42,Tienda B,27/9/2020
A18102,David Johnson,789 Oak Lane,1964,Tienda C,5/7/2020
A18103,Sarah Brown,321 Pine Road,1326,Tienda A,9/4/2020
A18104,Michael Wilson,555 Maple Drive,1521,Tienda B,23/11/2020
A18105,Emily Davis,987 Cedar Court,1805,Tienda C,28/9/2020
A18106,Mark Thompson,246 Walnut Street,1807,Tienda A,24/10/2020
A18107,Michelle Anderson,654 Birch Lane,925,Tienda B,27/3/2020
A18108,Andrew Davis,321 Pine Road,1124,Tienda C,31/10/2020
A18109,Jennifer Lee,789 Oak Lane,387,Tienda A,17/8/2020
A18110,Brian Wilson,555 Maple Drive,674,Tienda B,1/6/2020
A18111,Laura Miller,987 Cedar Court,1254,Tienda C,5/11/2020
A18112,Robert Johnson,123 Main Street,428,Tienda A,7/1/2020
A18113,Mary Davis,456 Elm Avenue,989,Tienda B,14/10/2020
A18114,Christopher Brown,789 Oak Lane,517,Tienda C,30/6/2020
A18115,Elizabeth Smith,321 Pine Road,451,Tienda A,26/8/2020
A18116,Daniel Wilson,555 Maple Drive,763,Tienda B,21/10/2020
A18117,Jessica Davis,987 Cedar Court,969,Tienda C,10/4/2020
A18118,Matthew Thompson,246 Walnut Street,522,Tienda A,10/1/2020
A18119,Amanda Anderson,654 Birch Lane,1005,Tienda B,21/7/2020
A18120,Steven Davis,321 Pine Road,217,Tienda C,8/7/2020
A18121,Liam Johnson,247 Walnut Street,1095,Tienda A,8/6/2020
A18122,Olivia Smith,655 Birch Lane,285,Tienda B,19/5/2020
A18123,Noah Davis,322 Pine Road,558,Tienda C,31/1/2020
A18124,Emma Wilson,248 Walnut Street,1699,Tienda A,30/7/2020
A18125,Ava Thompson,656 Birch Lane,1367,Tienda B,21/7/2020
A18126,William Anderson,323 Pine Road,200,Tienda C,18/6/2020
A18127,Sophia Brown,249 Walnut Street,1373,Tienda A,9/10/2020
A18128,James Miller,657 Birch Lane,290,Tienda B,18/3/2020
A18129,Isabella Taylor,324 Pine Road,1717,Tienda C,9/11/2020
A18130,Benjamin Lee,250 Walnut Street,129,Tienda A,4/10/2020
A18131,Sofia Johnson,658 Birch Lane,1097,Tienda B,10/2/2020
A18132,Ethan Davis,325 Pine Road,766,Tienda C,19/11/2020
A18133,Olivia Thompson,251 Walnut Street,664,Tienda A,23/4/2020
A18134,Liam Anderson,659 Birch Lane,1502,Tienda B,31/5/2020
A18135,Ava Wilson,326 Pine Road,1416,Tienda C,2/5/2020
A18136,Noah Smith,252 Walnut Street,1579,Tienda A,24/3/2020
A18137,Isabella Brown,660 Birch Lane,307,Tienda B,19/3/2020
A18138,Jackson Miller,327 Pine Road,343,Tienda C,25/2/2020
A18139,Mia Davis,253 Walnut Street,354,Tienda A,11/4/2020
A18140,Aiden Johnson,661 Birch Lane,1903,Tienda B,31/1/2020
A18141,Jane Doe,124 Main Street,396,Tienda C,14/8/2020
A18142,David Smith,457 Elm Avenue,1696,Tienda A,25/10/2020
A18143,Sarah Johnson,790 Oak Lane,231,Tienda B,6/8/2020
A18144,Michael Brown,322 Pine Road,20,Tienda C,11/10/2020
A18145,Emily Wilson,556 Maple Drive,624,Tienda A,30/5/2020
A18146,Mark Davis,988 Cedar Court,1114,Tienda B,21/2/2020
A18147,Michelle Thompson,247 Walnut Street,967,Tienda C,16/3/2020
A18148,Andrew Anderson,655 Birch Lane,582,Tienda A,18/9/2020
A18149,Jennifer Davis,322 Pine Road,1150,Tienda B,21/9/2020
A18150,Brian Lee,790 Oak Lane,144,Tienda C,9/11/2020
A18151,Laura Wilson,556 Maple Drive,1476,Tienda A,7/8/2020
A18152,Robert Miller,988 Cedar Court,1697,Tienda B,20/4/2020
A18153,Mary Johnson,124 Main Street,483,Tienda C,2/1/2020
A18154,Christopher Davis,457 Elm Avenue,501,Tienda A,7/8/2020
A18155,Elizabeth Brown,790 Oak Lane,703,Tienda B,23/3/2020
A18156,Daniel Smith,322 Pine Road,1746,Tienda C,3/1/2020
A18157,Jessica Wilson,556 Maple Drive,1097,Tienda A,3/2/2020
A18158,Matthew Davis,988 Cedar Court,1261,Tienda B,21/6/2020
A18159,Amanda Thompson,247 Walnut Street,796,Tienda C,14/1/2020
A18160,Steven Anderson,655 Birch Lane,1117,Tienda A,29/7/2020
A18161,Liam Davis,322 Pine Road,265,Tienda B,2/7/2020
A18162,Olivia Johnson,248 Walnut Street,976,Tienda C,1/11/2020
A18163,Noah Smith,656 Birch Lane,1799,Tienda A,24/10/2020
A18164,Emma Davis,323 Pine Road,303,Tienda B,10/9/2020
A18165,Ava Wilson,249 Walnut Street,843,Tienda C,29/4/2020
A18166,William Thompson,657 Birch Lane,1801,Tienda A,15/1/2020
A18167,Sophia Anderson,324 Pine Road,1688,Tienda B,11/2/2020
A18168,James Brown,250 Walnut Street,995,Tienda C,13/4/2020
A18169,Isabella Miller,658 Birch Lane,1692,Tienda A,21/7/2020
A18170,Benjamin Taylor,325 Pine Road,1,Tienda B,3/6/2020
A18171,Sofia Lee,251 Walnut Street,1169,Tienda C,15/9/2020
A18172,Ethan Johnson,659 Birch Lane,330,Tienda A,4/3/2020
A18173,Olivia Davis,326 Pine Road,937,Tienda B,26/2/2020
A18174,Liam Thompson,252 Walnut Street,328,Tienda C,17/10/2020
A18175,Ava Anderson,660 Birch Lane,1580,Tienda A,24/4/2020
A18176,Noah Wilson,327 Pine Road,955,Tienda B,1/7/2020
A18177,Isabella Smith,253 Walnut Street,1968,Tienda C,28/2/2020
A18178,Jackson Brown,661 Birch Lane,1293,Tienda A,21/7/2020
A18179,Mia Miller,328 Pine Road,1850,Tienda B,20/8/2020
A18180,Aiden Davis,254 Walnut Street,1782,Tienda C,18/10/2020
A18181,John Johnson,662 Birch Lane,229,Tienda A,7/4/2020
A18182,Robert Miller,659 Birch Lane,5623,Tienda A,27/4/2020
A18183,Mary Johnson,326 Pine Road,8744,Tienda B,7/9/2020
A18184,Christopher Davis,252 Walnut Street,7104,Tienda C,23/1/2020
A18185,Elizabeth Brown,660 Birch Lane,12124,Tienda A,9/7/2020
A18186,Daniel Smith,327 Pine Road,14936,Tienda B,9/4/2020
A18187,Jessica Wilson,253 Walnut Street,8994,Tienda C,31/1/2020
A18188,Matthew Davis,661 Birch Lane,9612,Tienda A,23/11/2020
A18189,Amanda Thompson,124 Main Street,6308,Tienda B,10/6/2020
A18190,Steven Anderson,457 Elm Avenue,11915,Tienda C,20/3/2020
A18191,Liam Davis,790 Oak Lane,6794,Tienda A,24/3/2020
A18192,Olivia Johnson,322 Pine Road,12753,Tienda B,1/11/2020
A18193,Noah Smith,556 Maple Drive,9813,Tienda C,24/7/2020
A18194,Emma Davis,988 Cedar Court,7520,Tienda A,14/7/2020
A18195,Ava Wilson,247 Walnut Street,9505,Tienda B,26/9/2020
A18196,William Thompson,655 Birch Lane,9510,Tienda C,27/1/2020
A18197,Sophia Anderson,322 Pine Road,12624,Tienda A,15/5/2020
A18198,James Brown,790 Oak Lane,7265,Tienda B,15/9/2020
A18199,Isabella Miller,556 Maple Drive,13678,Tienda C,20/4/2020
A18200,Benjamin Taylor,988 Cedar Court,12958,Tienda A,1/7/2020
A18201,Sofia Lee,124 Main Street,8834,Tienda B,20/4/2020
A18202,Ethan Johnson,457 Elm Avenue,7204,Tienda C,11/8/2020
A18203,Olivia Davis,790 Oak Lane,8608,Tienda A,17/1/2020
A18204,Liam Thompson,322 Pine Road,8218,Tienda B,25/9/2020
A18205,Ava Anderson,556 Maple Drive,8519,Tienda C,23/9/2020
A18206,Noah Wilson,988 Cedar Court,14734,Tienda A,2/3/2020
A18207,Isabella Smith,247 Walnut Street,12604,Tienda B,17/8/2020
A18208,Jackson Brown,655 Birch Lane,13129,Tienda C,17/7/2020
A18209,Mia Miller,322 Pine Road,11078,Tienda A,12/3/2020
A18210,Aiden Davis,248 Walnut Street,7866,Tienda B,12/3/2020
A18211,John Johnson,656 Birch Lane,6864,Tienda C,8/3/2020
A18212,Liam Anderson,323 Pine Road,5907,Tienda A,20/2/2020
A18213,Ava Wilson,249 Walnut Street,14139,Tienda B,31/4/2020
A18214,Noah Smith,657 Birch Lane,10359,Tienda C,9/9/2020
A18215,Isabella Brown,324 Pine Road,11641,Tienda A,5/1/2020
A18216,Jackson Miller,250 Walnut Street,13830,Tienda B,29/2/2020
A18217,Mia Davis,658 Birch Lane,13837,Tienda C,23/6/2020
A18218,Aiden Johnson,325 Pine Road,10849,Tienda A,26/4/2020
A18219,Jane Doe,251 Walnut Street,13050,Tienda B,9/2/2020
A18220,David Smith,659 Birch Lane,8291,Tienda C,26/6/2020
A18221,Sarah Johnson,326 Pine Road,5215,Tienda A,5/7/2020
A18222,Michael Brown,252 Walnut Street,13555,Tienda B,29/4/2020
A18223,Emily Wilson,660 Birch Lane,5664,Tienda C,20/3/2020
A18224,Mark Davis,327 Pine Road,9717,Tienda A,22/8/2020
A18225,Michelle Thompson,253 Walnut Street,6289,Tienda B,2/11/2020
A18226,Andrew Anderson,661 Birch Lane,8119,Tienda C,12/1/2020
A18227,Jennifer Davis,328 Pine Road,9951,Tienda A,17/1/2020
A18228,Brian Lee,254 Walnut Street,6360,Tienda B,22/7/2020
A18229,Laura Wilson,662 Birch Lane,13065,Tienda C,1/3/2020
A18230,Robert Miller,123 Main Street,10445,Tienda A,15/5/2020
A18231,Mary Johnson,456 Elm Avenue,8567,Tienda B,27/9/2020
A18232,Christopher Davis,789 Oak Lane,13927,Tienda C,5/7/2020
A18233,Elizabeth Brown,321 Pine Road,11466,Tienda A,9/4/2020
A18234,Daniel Smith,555 Maple Drive,10472,Tienda B,23/11/2020
A18235,Jessica Wilson,987 Cedar Court,14030,Tienda C,28/9/2020
A18236,Matthew Davis,246 Walnut Street,11923,Tienda A,24/10/2020
A18237,Amanda Thompson,654 Birch Lane,7986,Tienda B,27/3/2020
A18238,Steven Anderson,321 Pine Road,11259,Tienda C,31/10/2020
